11.09.2017 16:11:48 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
11.09.2017 16:12:48 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
11.09.2017 16:52:07 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
11.09.2017 16:54:48 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
11.09.2017 16:57:08 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
11.09.2017 16:58:23 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
11.09.2017 16:59:10 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
11.09.2017 16:59:30 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
11.09.2017 21:03:22 ; device ; aggregating values in /home/kubow/Dokumenty/Script/Multimedia/, last run: 2017/08/10 16:38:12 ; PY ; device ; INFO
11.09.2017 21:35:19 ; device ; aggregating values in /home/kubow/Dokumenty/Script/Multimedia/, last run: 2017/08/10 16:38:12 ; PY ; device ; INFO
11.09.2017 22:28:15 ; device ; aggregating values in /home/kubow/Dokumenty/Script/Multimedia/, last run: 2017/08/10 16:38:12 ; PY ; device ; INFO
11.09.2017 22:28:41 ; device ; aggregating values in /home/kubow/Dokumenty/Script/Multimedia/, last run: 2017/08/10 16:38:12 ; PY ; device ; INFO
12.09.2017 10:47:14 ; device ; aggregating values in C:\_Run\Script\Multimedia\, last run: 2017/08/11 13:41:25 ; PY ; device ; INFO
12.09.2017 15:10:09 ; device ; Reading serial input from: (u'COM5', u'COM5') - at (9600,) ; PY ; device ; INFO
12.09.2017 15:12:29 ; device ; Reading serial input from: COM5 - at (9600,) ; PY ; device ; INFO
12.09.2017 15:14:09 ; device ; Reading serial input from: COM5 - at (9600,) ; PY ; device ; INFO
12.09.2017 15:14:30 ; device ; Reading serial input from: COM5 - at (9600,) ; PY ; device ; INFO
12.09.2017 15:15:51 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 15:17:24 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 15:17:43 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 15:36:47 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 16:12:24 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 16:12:42 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 16:16:54 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 16:19:32 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 16:31:23 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 16:32:14 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
12.09.2017 16:33:34 ; device ; Reading serial input from: COM5 - at 9600 ; PY ; device ; INFO
